customer_id,discount_received,satisfaction_score,age,gender,purchase_amount,product_category,purchase_frequency
C001,1,5,24,Female,1250,Electronics,8
C002,0,3,31,Male,780,Clothing,5
C003,1,4,28,Female,950,Home,6
C004,0,2,42,Male,620,Grocery,3
C005,1,5,35,Female,1450,Electronics,9
C006,0,3,26,Male,540,Clothing,4
C007,1,4,30,Female,890,Home,7
C008,0,2,45,Female,430,Grocery,2
C009,1,5,22,Male,1320,Electronics,10
C010,0,3,38,Female,710,Clothing,5
C011,1,4,27,Male,980,Home,7
C012,0,2,51,Female,390,Grocery,2
C013,1,5,33,Female,1560,Electronics,9
C014,0,3,29,Male,670,Clothing,4
C015,1,4,41,Female,920,Home,6
C016,0,2,47,Male,510,Grocery,3
C017,1,5,25,Female,1280,Electronics,8
C018,0,3,36,Male,740,Clothing,5
C019,1,4,32,Female,1010,Home,7
C020,0,2,54,Male,450,Grocery,2
C021,1,5,23,Female,1380,Electronics,10
C022,0,3,40,Female,690,Clothing,4
C023,1,4,34,Male,870,Home,6
C024,0,2,49,Female,480,Grocery,3
C025,1,5,28,Male,1490,Electronics,9
C026,0,3,37,Female,730,Clothing,5
C027,1,4,31,Male,940,Home,7
C028,0,2,52,Female,420,Grocery,2
C029,1,5,26,Female,1350,Electronics,9
C030,0,3,43,Male,650,Clothing,4
C031,1,4,29,Female,990,Home,7
C032,0,2,48,Male,460,Grocery,3
C033,1,5,36,Female,1420,Electronics,10
C034,0,3,33,Male,720,Clothing,5
C035,1,4,27,Female,910,Home,6
C036,0,2,55,Male,400,Grocery,2
C037,1,5,24,Female,1310,Electronics,9
C038,0,3,39,Female,680,Clothing,4
C039,1,4,35,Male,960,Home,7
C040,0,2,46,Female,440,Grocery,3
C041,1,5,30,Male,1470,Electronics,10
C042,0,3,34,Female,700,Clothing,5
C043,1,4,28,Male,900,Home,6
C044,0,2,50,Female,470,Grocery,2
C045,1,5,37,Female,1290,Electronics,9
C046,0,3,41,Male,760,Clothing,5
C047,1,4,26,Female,970,Home,7
C048,0,2,53,Male,410,Grocery,2
C049,1,5,32,Female,1400,Electronics,10
C050,0,3,44,Male,640,Clothing,4
